crime_rating,distance,weight_safest_12,weight_safest_14,weight_safest_18,weight_shortest,osm_start_id,osm_end_id
18.5,0.05669,0.07968,0.06435,0.05997,0.05669,260168596,65297434
55.0,0.02059,0.08894,0.04337,0.03035,0.02059,260193610,65309526
341.0,0.06926,0.49301,0.21051,0.1298,0.06926,260193610,260193612
226.0,0.05912,0.33996,0.15273,0.09924,0.05912,260193610,260193609
11.0,0.03325,0.04692,0.03781,0.0352,0.03325,260300255,65351231
12.5,0.03419,0.04972,0.03937,0.03641,0.03419,260300255,260300259
16.0,0.05637,0.07625,0.063,0.05921,0.05637,260300255,260300239
0.0,0.12683,0.12683,0.12683,0.12683,0.12683,260300561,65407948
0.0,0.05046,0.05046,0.05046,0.05046,0.05046,260300561,260300452
30.0,0.05938,0.09666,0.07181,0.06471,0.05938,262078982,65336112
13.5,0.0068,0.02358,0.01239,0.0092,0.0068,262078982,65351392
54.0,0.09152,0.15862,0.11389,0.10111,0.09152,262078982,262078983
43.5,0.09061,0.14467,0.10863,0.09833,0.09061,262078982,262078981
5.0,0.00811,0.01432,0.01018,0.009,0.00811,266903664,266903726
4.0,0.00598,0.01095,0.00764,0.00669,0.00598,266903724,266903662
4.0,0.00667,0.01164,0.00833,0.00738,0.00667,266903724,65340090
4.0,0.01905,0.02402,0.02071,0.01976,0.01905,2179216839,343525284
2.0,0.00989,0.01238,0.01072,0.01025,0.00989,2179216839,2179216848
2.0,0.00869,0.01118,0.00952,0.00905,0.00869,2179216839,343525232
1.0,0.06252,0.06376,0.06293,0.0627,0.06252,2179216892,343531215
1.0,0.02804,0.02928,0.02845,0.02822,0.02804,2179216892,343517482
0.0,0.01925,0.01925,0.01925,0.01925,0.01925,2179292733,343575835
3.5,0.0286,0.03295,0.03005,0.02922,0.0286,2179292733,2179292732
0.0,0.00477,0.00477,0.00477,0.00477,0.00477,2179292733,258697335
44.5,0.02795,0.08325,0.04638,0.03585,0.02795,2179309290,1014306729
29.0,0.11469,0.15073,0.1267,0.11984,0.11469,2179309290,2179309298
26.5,0.02503,0.05796,0.03601,0.02973,0.02503,2179309290,343539278
0.0,0.01284,0.01284,0.01284,0.01284,0.01284,2179309411,392433720
0.0,0.00541,0.00541,0.00541,0.00541,0.00541,2179309411,258869648
0.0,0.00483,0.00483,0.00483,0.00483,0.00483,2179309411,258869679
2.0,0.01121,0.0137,0.01204,0.01157,0.01121,2179309505,2179309515
3.0,0.02666,0.03039,0.0279,0.02719,0.02666,2179309505,1350854689
3.0,0.01903,0.02276,0.02027,0.01956,0.01903,2179309505,2179309511
0.0,0.03795,0.03795,0.03795,0.03795,0.03795,2179343997,345508697
0.0,0.04519,0.04519,0.04519,0.04519,0.04519,2179343997,665527780
0.0,0.11422,0.11422,0.11422,0.11422,0.11422,2179344094,1993141040
0.0,0.08606,0.08606,0.08606,0.08606,0.08606,2179344094,2179344147
29.0,0.05257,0.08861,0.06458,0.05772,0.05257,2179344186,2179344156
21.0,0.04845,0.07455,0.05715,0.05218,0.04845,2179344186,2179344184
44.5,0.09793,0.15323,0.11636,0.10583,0.09793,2179344186,343538421
106.0,0.13732,0.26904,0.18123,0.15614,0.13732,2179348985,2179348917
81.0,0.1313,0.23196,0.16485,0.14568,0.1313,2179348985,65304376
6.5,0.00796,0.01604,0.01065,0.00911,0.00796,2179348985,65309615
129.0,0.08005,0.24035,0.13348,0.10295,0.08005,65294163,260496469
130.5,0.01401,0.17618,0.06807,0.03718,0.01401,65294163,300750450
258.0,0.01346,0.33407,0.12033,0.05926,0.01346,65294163,2248769195
