osm_node_id,lat,lon,intersection,crime_rating
65308653,37.7216744,-122.465564,true,6.0
65287774,37.7372281,-122.4806556,true,5.0
65287776,37.7372233,-122.4817089,true,1.0
65287782,37.7374524,-122.4828408,true,3.0
65287789,37.737117,-122.48495,true,0.0
65287805,37.7369607,-122.4874836,true,0.0
65287831,37.7379102,-122.4900853,true,2.0
65287834,37.7378932,-122.4903699,true,2.0
65287849,37.7372865,-122.4913776,true,5.0
65287857,37.7370748,-122.4924699,true,8.0
65287863,37.7367156,-122.4935215,true,4.0
65287867,37.7366345,-122.4941272,true,14.0
65287871,37.7366051,-122.4945967,true,14.0
65287878,37.7365112,-122.4967265,true,4.0
65287879,37.7364639,-122.4977997,true,3.0
65287881,37.7364168,-122.498869,true,4.0
65287885,37.7363696,-122.4999389,true,3.0
65287888,37.7363224,-122.5010099,true,11.0
65287892,37.7362749,-122.5020887,true,12.0
65287895,37.736228,-122.5031515,true,16.0
65287898,37.73618,-122.5042402,true,16.0
65287902,37.7361344,-122.505311,true,16.0
65287922,37.7366312,-122.4313541,true,6.0
65287928,37.7361001,-122.430806,true,8.0
65287932,37.7355589,-122.4302478,true,12.0
65287934,37.735027,-122.429699,true,10.0
65287942,37.7379043,-122.4189423,true,12.0
65287945,37.7378126,-122.4179911,true,12.0
65287947,37.737676,-122.4165721,true,8.0
65287958,37.7457241,-122.4172361,true,19.0
65287960,37.7454486,-122.4165528,true,16.0
65287966,37.7452847,-122.4161465,true,15.0
65287987,37.7451021,-122.4156936,true,14.0
65288495,37.7558726,-122.4724385,true,5.0
65288545,37.8015088,-122.4506201,true,0.0
65288552,37.8011661,-122.4508304,true,0.0
65288560,37.7099147,-122.4203306,true,44.0
65288571,37.7857756,-122.4159885,true,255.0
65288577,37.7857302,-122.4163329,true,279.0
65288585,37.737754,-122.42551,true,18.0
65288590,37.7374155,-122.4248516,true,42.0
65288594,37.7373566,-122.4231171,true,49.0
65288597,37.7372616,-122.4210854,true,21.0
65288603,37.737163,-122.4188243,true,11.0
65288605,37.7371258,-122.4180974,true,12.0
65288607,37.7370461,-122.4166287,true,9.0
65288615,37.7324433,-122.4220319,true,13.0
65288630,37.7328252,-122.4217691,true,9.0
65288637,37.7345657,-122.4237942,true,42.0
65288646,37.7343652,-122.4228795,true,18.0
65288654,37.7338243,-122.4223887,true,16.0
65288658,37.7331709,-122.4220521,true,10.0
65288677,37.73214,-122.4248778,true,11.0
65288686,37.7318056,-122.4259635,true,6.0
65288731,37.8030585,-122.4764861,true,0.0
65327989,37.724976,-122.403601,true,24.0
65288704,37.732614,-122.396865,true,13.0
65288712,37.7315629,-122.3985732,true,20.0
65288716,37.730165,-122.39897,true,28.0
65288722,37.8033047,-122.4763465,true,0.0
65288725,37.8032077,-122.4760913,true,0.0
65288735,37.8031057,-122.4770422,true,0.0
65288737,37.753628,-122.457759,true,1.0
65288741,37.7541469,-122.4580638,true,1.0
65288745,37.7546411,-122.4582634,true,1.0
65293636,37.7596955,-122.4282483,true,17.0
65293642,37.7595539,-122.4304416,true,19.0
65293645,37.759423,-122.432638,true,33.0
65293648,37.759356,-122.433745,true,96.0
65293652,37.7592878,-122.4348746,true,73.0
65293657,37.759223,-122.435957,true,50.0
65293729,37.739184,-122.417779,true,13.0
65293731,37.7384283,-122.4178959,true,11.0
65293741,37.7817636,-122.4097034,true,435.0
65293743,37.7814094,-122.4092587,true,354.0
65293746,37.7809779,-122.4087215,true,348.0
65293748,37.7805494,-122.4081852,true,300.0
65293751,37.7801802,-122.4077205,true,263.0
65293753,37.7797361,-122.4071627,true,214.0
65293754,37.7793122,-122.4066316,true,157.0
65293755,37.7789407,-122.406166,true,112.0
65293764,37.7780671,-122.4050714,true,95.0
65293766,37.7776979,-122.4046087,true,82.0
65293768,37.7772779,-122.4040826,true,81.0
65293777,37.7767255,-122.4033895,true,706.0
65293779,37.7748144,-122.4009956,true,33.0
65293797,37.7736238,-122.3994179,true,17.0
65293823,37.7711476,-122.3964127,true,0.0
65293860,37.8024656,-122.4082868,true,26.0
65293870,37.7657631,-122.4265829,true,35.0
65293874,37.765643,-122.427704,true,42.0
65293878,37.7343726,-122.4407095,true,8.0
65293880,37.7344098,-122.4412227,true,7.0
65293884,37.734412,-122.442034,true,6.0
65293898,37.734564,-122.442971,true,6.0
65293899,37.7345532,-122.4443333,true,2.0
65293902,37.734547,-122.4453998,true,4.0
65294006,37.7576926,-122.4831512,true,3.0
65294011,37.7576447,-122.4842299,true,1.0
65294014,37.7575497,-122.4863697,true,3.0
65294017,37.7575022,-122.4874413,true,4.0
65294031,37.7574544,-122.4885175,true,3.0
65294035,37.7574067,-122.4895915,true,1.0
65294038,37.7573595,-122.4906549,true,2.0
65294046,37.7573119,-122.4917288,true,0.0
65294048,37.7572642,-122.4928076,true,0.0
65294051,37.7572161,-122.4938854,true,0.0
65294056,37.7571688,-122.4949527,true,3.0
65294061,37.7571215,-122.4960179,true,3.0
65294063,37.7570739,-122.4970917,true,3.0
65294067,37.7569791,-122.4992414,true,8.0
65294070,37.7569312,-122.5003054,true,10.0
65294072,37.7568838,-122.5013741,true,6.0
65294075,37.756836,-122.5024501,true,5.0
65294080,37.7567414,-122.5045827,true,4.0
65294084,37.7566927,-122.5056793,true,5.0
65294088,37.7566454,-122.5067445,true,8.0
65294090,37.7565984,-122.5078047,true,11.0
65294093,37.756549,-122.5089177,true,8.0
65294136,37.7779754,-122.4524527,true,6.0
65294139,37.7769877,-122.452252,true,9.0
65294146,37.7249612,-122.4636457,true,13.0
65294171,37.7678819,-122.4266363,true,128.0
65294178,37.7670642,-122.4267081,true,32.0
65294188,37.7662621,-122.4266309,true,28.0
65294202,37.7646386,-122.4264747,true,26.0
65294209,37.7639497,-122.4264084,true,31.0
65294216,37.7630207,-122.426319,true,26.0
65294225,37.7621616,-122.4262355,true,54.0
65295299,37.7922583,-122.4075343,true,69.0
65295304,37.7921909,-122.408092,true,66.0
65295307,37.7921572,-122.4083618,true,68.0
65295309,37.7920976,-122.4088284,true,70.0
65295311,37.7920516,-122.4091894,true,65.0
65295320,37.791722,-122.411712,true,33.0
